City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Kingaroy,AU,2022-12-10 17:52:29,-26.5333,151.8333,57.67,98,19,3.27
130,Hasaki,JP,2022-12-10 17:52:29,35.7333,140.8333,45.21,73,26,7.7
131,Busselton,AU,2022-12-10 17:52:30,-33.65,115.3333,51.57,84,0,11.16
132,The Valley,AI,2022-12-10 17:50:13,18.217,-63.0578,83.1,69,1,8.46
133,Krasnoselkup,RU,2022-12-10 17:52:30,65.7,82.4667,-31.45,99,23,4.23
134,Cidreira,BR,2022-12-10 17:52:31,-30.1811,-50.2056,77.83,79,92,9.28
135,Carquefou,FR,2022-12-10 17:52:31,47.2982,-1.4902,38.98,78,0,4.61
136,Sanchursk,RU,2022-12-10 17:52:31,56.9413,47.2499,25.36,97,100,8.88
137,Yerbogachen,RU,2022-12-10 17:52:32,61.2767,108.0108,-8.77,100,100,2.46
138,Willmar,US,2022-12-10 17:48:39,45.1219,-95.0433,33.75,93,75,3.44
139,Padang,ID,2022-12-10 17:53:32,-0.9492,100.3543,75.52,96,100,5.93
140,Banjar,ID,2022-12-10 17:53:33,-8.19,114.9675,77.25,90,87,4.81
141,Nanchong,CN,2022-12-10 17:53:33,30.7951,106.0847,49.42,74,12,1.5
142,Rindal,NO,2022-12-10 17:53:34,63.0565,9.2124,5.92,90,19,5.23
143,Faanui,PF,2022-12-10 17:53:34,-16.4833,-151.75,78.3,74,98,4.79
144,Maragogi,BR,2022-12-10 17:53:34,-9.0122,-35.2225,83.68,65,54,11.45
145,Hobart,AU,2022-12-10 17:53:35,-42.8794,147.3294,53.46,88,40,5.75
146,Ebebiyin,GQ,2022-12-10 17:53:35,2.1511,11.3353,75.76,74,92,2.8
147,Moyobamba,PE,2022-12-10 17:53:36,-6.05,-76.9667,76.05,77,100,2.13
148,Port Macquarie,AU,2022-12-10 17:53:36,-31.4333,152.9167,60.89,85,96,7.45
149,Katsuura,JP,2022-12-10 17:53:37,35.1333,140.3,54.9,73,4,9.13
150,Xiongzhou,CN,2022-12-10 17:53:37,25.1167,114.3,49.37,82,12,3.78
151,Puerto Gaitan,CO,2022-12-10 17:53:37,4.3133,-72.0816,89.69,46,84,9.84
152,New Norfolk,AU,2022-12-10 17:53:38,-42.7826,147.0587,53.1,82,66,2.51
153,Henties Bay,NA,2022-12-10 17:53:38,-22.116,14.2845,61.57,89,5,8.41
154,Kristiinankaupunki,FI,2022-12-10 17:53:39,62.2743,21.376,21.54,94,100,7.94
155,Salamiyah,SY,2022-12-10 17:53:39,35.0113,37.0532,54.77,69,9,5.39
156,College,US,2022-12-10 17:53:39,64.8569,-147.8028,5.32,92,100,0.0
157,Hailey,US,2022-12-10 17:50:23,43.5196,-114.3153,30.88,80,100,8.01
158,Mahebourg,MU,2022-12-10 17:53:40,-20.4081,57.7,77.25,88,75,10.36
159,Nanortalik,GL,2022-12-10 17:53:40,60.1432,-45.2371,22.62,79,4,8.7
160,Saskylakh,RU,2022-12-10 17:53:41,71.9167,114.0833,-14.04,99,100,4.45
161,Atar,MR,2022-12-10 17:53:41,20.5169,-13.0499,88.39,13,28,6.91
162,Mitsamiouli,KM,2022-12-10 17:53:41,-11.3847,43.2844,81.14,75,42,4.07
163,Dauphin,CA,2022-12-10 17:53:42,51.1494,-100.0502,17.74,86,100,5.75
164,Clifton,US,2022-12-10 17:51:08,40.8584,-74.1638,41.72,57,0,10.36
165,San Luis,AR,2022-12-10 17:53:42,-33.295,-66.3356,89.56,37,36,5.37
166,Emba,KZ,2022-12-10 17:53:43,48.8264,58.1442,4.1,84,7,3.8
167,Dikson,RU,2022-12-10 17:53:43,73.5069,80.5464,-4.45,100,100,3.51
168,Aguimes,ES,2022-12-10 17:53:43,27.9054,-15.4461,68.63,88,75,9.22
169,Kavaratti,IN,2022-12-10 17:53:44,10.5669,72.642,81.39,70,47,13.69
170,Kaeo,NZ,2022-12-10 17:53:44,-35.1,173.7833,67.32,96,100,5.55
171,Greenville,US,2022-12-10 17:49:21,35.6127,-77.3663,53.13,65,100,3.44
172,Farmington,US,2022-12-10 17:49:11,36.7281,-108.2187,48.2,55,0,10.36
173,Eureka,US,2022-12-10 17:50:57,40.8021,-124.1637,51.93,94,97,7.0
174,Aksarka,RU,2022-12-10 17:53:45,66.5606,67.7975,-13.81,100,83,2.66
175,Honiara,SB,2022-12-10 17:52:39,-9.4333,159.95,77.54,86,100,2.33
176,Chicama,PE,2022-12-10 17:53:46,-7.8447,-79.1469,68.54,60,91,10.83
177,Srednekolymsk,RU,2022-12-10 17:53:46,67.45,153.6833,-40.14,97,98,8.79
178,Port Hawkesbury,CA,2022-12-10 17:53:46,45.6169,-61.3485,36.99,84,100,18.99
179,Khatanga,RU,2022-12-10 17:53:47,71.9667,102.5,-7.62,98,100,10.47
180,Saint-Augustin,CA,2022-12-10 17:53:47,51.226,-58.6502,14.58,66,55,17.52
181,Oussouye,SN,2022-12-10 17:53:47,12.485,-16.5469,93.38,59,0,10.8
182,Alta Floresta,BR,2022-12-10 17:54:48,-9.8756,-56.0861,75.87,83,100,1.32
183,Nyuzen,JP,2022-12-10 17:54:48,36.9333,137.5,50.47,70,100,10.89
184,Kaitangata,NZ,2022-12-10 17:54:49,-46.2817,169.8464,50.92,97,99,1.66
185,Lantana,US,2022-12-10 17:53:22,26.5867,-80.052,83.05,59,0,6.91
186,Christchurch,NZ,2022-12-10 17:54:49,-43.5333,172.6333,57.9,83,74,4.0
187,Redlands,US,2022-12-10 17:54:34,34.0556,-117.1825,65.19,56,46,3.65
188,Moerai,PF,2022-12-10 17:54:50,-22.4333,-151.3333,73.4,83,100,23.04
189,Ambulu,ID,2022-12-10 17:54:50,-8.345,113.6058,75.27,91,99,2.93
190,Thinadhoo,MV,2022-12-10 17:54:50,0.5333,72.9333,80.89,79,100,14.29
191,Nyurba,RU,2022-12-10 17:54:51,63.2842,118.3319,-30.69,100,99,3.15
192,Kota Bahru,MY,2022-12-10 17:54:51,6.1333,102.2386,76.98,94,40,5.01
193,Assiniboia,CA,2022-12-10 17:54:52,49.6334,-105.9845,13.82,62,55,1.14
194,Bambous Virieux,MU,2022-12-10 17:54:52,-20.3428,57.7575,77.22,88,75,10.36
195,Natal,BR,2022-12-10 17:54:52,-5.795,-35.2094,86.65,58,75,14.97
196,Xuddur,SO,2022-12-10 17:54:53,4.1213,43.8894,80.98,37,27,10.25
197,Georgetown,MY,2022-12-10 17:54:53,5.4112,100.3354,78.89,91,40,7.0
198,Khash,IR,2022-12-10 17:54:53,28.2211,61.2158,44.02,51,57,7.85
199,Thompson,CA,2022-12-10 17:54:54,55.7435,-97.8558,21.36,86,100,4.61
200,Constitucion,CL,2022-12-10 17:54:54,-35.3333,-72.4167,72.23,50,2,20.74
201,Provideniya,RU,2022-12-10 17:54:55,64.3833,-173.3,29.71,97,100,32.48
202,Barra Do Garcas,BR,2022-12-10 17:54:55,-15.89,-52.2567,88.38,55,40,5.75
203,Kathu,TH,2022-12-10 17:54:55,7.9178,98.3332,83.7,99,100,6.93
204,Hualmay,PE,2022-12-10 17:54:56,-11.0964,-77.6139,69.78,78,100,8.14
205,Bilma,NE,2022-12-10 17:54:56,18.6853,12.9164,72.93,13,0,8.59
206,Quatre Cocos,MU,2022-12-10 17:54:57,-20.2078,57.7625,77.09,79,44,12.73
207,Shenkursk,RU,2022-12-10 17:54:57,62.1091,42.896,10.47,96,98,5.97
208,Alyangula,AU,2022-12-10 17:54:57,-13.8483,136.4192,83.32,72,64,11.23
209,Umm Lajj,SA,2022-12-10 17:54:58,25.0213,37.2685,78.48,41,0,14.41
210,Zavodoukovsk,RU,2022-12-10 17:54:58,56.5042,66.5515,15.53,91,100,8.34
211,Tocopilla,CL,2022-12-10 17:54:58,-22.092,-70.1979,72.34,65,72,4.07
212,Tuktoyaktuk,CA,2022-12-10 17:54:59,69.4541,-133.0374,-4.0,84,75,8.05
213,Isangel,VU,2022-12-10 17:54:59,-19.55,169.2667,79.03,83,100,6.33
