City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Cherskiy,RU,68.75,161.3,-24.93,96,100,4.99,overcast clouds
270,Linqing,CN,36.8456,115.7117,24.62,35,3,1.79,clear sky
271,Mattru,SL,7.6244,-11.8332,76.33,88,100,2.53,overcast clouds
272,Deputatskiy,RU,69.3,139.9,-27.81,92,100,8.12,overcast clouds
273,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,41,9.86,light rain
274,Matiri,TZ,-10.75,34.9,62.11,90,98,1.79,overcast clouds
275,Plavinas,LV,56.6178,25.7255,13.59,97,100,3.56,overcast clouds
276,Chumphon,TH,10.3333,98.8333,67.66,96,88,0.4,overcast clouds
277,Ulaangom,MN,49.9811,92.0667,-12.77,98,97,1.36,overcast clouds
278,Sidi Ali,DZ,36.0998,0.4206,57.02,86,56,10.92,broken clouds
279,Shiyan,CN,32.6475,110.7781,34.79,41,99,6.46,overcast clouds
280,Chadiza,ZM,-14.0678,32.4392,64.33,91,22,3.85,few clouds
281,Kropotkin,RU,45.4375,40.5756,39.79,65,58,8.93,broken clouds
282,Jiujiang,CN,29.7333,115.9833,46.2,58,44,15.61,scattered clouds
283,Townsville,AU,-19.25,146.8,85.08,66,40,13.8,scattered clouds
284,Lagoa,PT,39.05,-27.9833,64.13,75,3,34.18,clear sky
285,Les Cayes,HT,18.2,-73.75,77.72,69,40,1.48,scattered clouds
286,Koutiala,ML,12.3917,-5.4642,76.71,14,30,8.81,scattered clouds
287,Pangai,TO,-19.8,-174.35,80.76,76,86,10.87,overcast clouds
288,Mgandu,TZ,-5.95,34.1333,62.82,79,85,1.66,light rain
289,Barranquilla,CO,10.9639,-74.7964,80.38,74,0,11.5,clear sky
290,Norden,DE,53.6,7.2,30.15,97,100,11.41,overcast clouds
291,Waipawa,NZ,-41.4122,175.5153,66.38,48,11,9.78,few clouds
292,Bageshwar,IN,29.85,79.7667,49.14,27,1,3.83,clear sky
293,Oranjemund,NA,-28.55,16.4333,63.81,98,14,1.74,few clouds
294,Le Port,RE,-20.9373,55.2919,78.8,91,11,3.71,few clouds
295,Luderitz,NA,-26.6481,15.1594,62.87,95,0,8.68,clear sky
296,Hithadhoo,MV,-0.6,73.0833,81.3,78,100,12.21,overcast clouds
297,Thinadhoo,MV,0.5333,72.9333,81.25,76,100,13.78,overcast clouds
298,Saint-Pierre,RE,-21.3393,55.4781,78.48,73,100,4.61,overcast clouds
299,Birjand,IR,32.8663,59.2211,37.87,75,0,6.91,clear sky
300,Talcahuano,CL,-36.7167,-73.1167,69.48,49,0,20.71,clear sky
301,Sarh,TD,9.1429,18.3923,67.91,77,0,2.3,clear sky
302,Makakilo City,US,21.3469,-158.0858,80.92,53,0,24.16,clear sky
303,Pudozh,RU,61.8099,36.5345,16.25,94,100,6.53,overcast clouds
304,Mukhen,RU,48.1,136.1,8.69,90,100,7.81,overcast clouds
305,Kholm,RU,59.2667,32.85,12.81,97,58,4.18,broken clouds
306,Necochea,AR,-38.5473,-58.7368,75.31,38,1,12.75,clear sky
307,Okhotsk,RU,59.3833,143.3,-24.59,84,21,11.56,few clouds
308,Daru,PG,-9.0763,143.2092,79.57,84,100,1.32,overcast clouds
309,Magaria,NE,12.9983,8.9099,68.74,15,0,8.81,clear sky
310,Hami,CN,42.8,93.45,20.61,67,98,8.5,overcast clouds
311,Auki,SB,-8.7676,160.7034,80.67,81,100,3.51,overcast clouds
312,Kautokeino,NO,69.0125,23.0412,6.46,96,100,6.62,light snow
313,Madimba,TZ,-10.4,40.3333,76.44,83,59,1.54,broken clouds
314,Uppsala,SE,60.0,17.75,20.71,100,100,10.36,light snow
315,Itarema,BR,-2.9248,-39.9167,79.45,80,3,16.06,clear sky
316,Port Blair,IN,11.6667,92.75,78.69,78,100,2.28,overcast clouds
317,Praxedis Guerrero,MX,31.3667,-106.0167,65.66,28,0,8.14,clear sky
318,Namibe,AO,-15.1961,12.1522,70.79,77,14,3.18,few clouds
319,Jaen,ES,38.0,-3.5,52.16,77,100,3.94,overcast clouds
320,Fatehabad,IN,29.5167,75.45,59.49,50,0,6.91,clear sky
321,Airai,TL,-8.9266,125.4092,60.91,68,97,2.15,overcast clouds
322,Cidreira,BR,-30.1811,-50.2056,74.05,90,100,10.13,overcast clouds
323,Magadan,RU,59.5667,150.8,-8.79,92,76,4.16,broken clouds
324,Lavrentiya,RU,65.5833,-171.0,27.25,96,100,33.26,snow
325,Ancud,CL,-41.8697,-73.8203,59.16,79,16,11.95,light rain
326,Kinlochleven,GB,56.7115,-4.9661,37.29,86,60,4.65,broken clouds
327,San Quintin,MX,30.4833,-115.95,63.43,54,0,14.81,clear sky
328,Cabedelo,BR,-6.9811,-34.8339,81.27,79,73,11.68,broken clouds
329,Timmins,CA,48.4669,-81.3331,8.42,78,75,8.05,broken clouds
330,Ulagan,RU,50.6321,87.9563,-0.98,93,99,3.13,overcast clouds
331,Labuhan,ID,-6.8844,112.2051,76.77,85,99,7.47,light rain
332,Bambanglipuro,ID,-7.95,110.2833,75.92,88,84,2.37,broken clouds
333,Lamu,KE,-2.2717,40.902,80.82,83,74,9.04,light rain
334,Kapoeta,SS,4.7717,33.5903,80.49,52,72,3.89,broken clouds
335,Impfondo,CG,1.6381,18.0667,73.81,75,12,1.45,few clouds
336,Obihiro,JP,42.9172,143.2044,26.42,79,39,3.53,scattered clouds
337,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,85,20,24.27,light rain
338,Rognan,NO,67.0953,15.3878,21.34,78,46,7.96,scattered clouds
339,Sept-Iles,CA,50.2001,-66.3821,12.06,61,0,6.91,clear sky
340,Senanga,ZM,-16.1167,23.2667,68.58,91,99,4.47,overcast clouds
341,Sinnamary,GF,5.3833,-52.95,77.86,84,84,7.29,broken clouds
342,Longyearbyen,SJ,78.2186,15.6401,26.44,74,75,1.14,broken clouds
343,Berlevag,NO,70.8578,29.0864,23.0,68,96,10.36,overcast clouds
344,Bogorodskoye,RU,56.55,37.8833,27.68,97,100,7.58,light snow
345,Pozo Colorado,PY,-23.4923,-58.7972,96.04,39,63,1.39,light rain
346,Leh,IN,34.1667,77.5833,16.43,79,47,2.51,scattered clouds
347,Dunedin,NZ,-45.8742,170.5036,59.23,74,33,4.61,scattered clouds
